"dur","F1","F2","F3","F4"
72.8421052631579,560.78947368421,1308.05263157895,2174.78947368421,3430.15789473684
103.264150943396,637.358490566038,1313.09433962264,2145.32075471698,3398.56603773585
154.130434782609,514.652173913043,1631.21739130435,2394.65217391304,3384.17391304348
153.190476190476,315.857142857143,2042.19047619048,2614.71428571429,3398.85714285714
99.7333333333333,539.533333333333,1031.46666666667,2047,3221.46666666667
53.4545454545455,383.181818181818,1081.81818181818,2294.27272727273,3382.72727272727
76.25,495.611111111111,1462.52777777778,2344.44444444444,3343.16666666667
122.515625,616.71875,1354.453125,2285.03125,3311.890625
134,526.464285714286,1603.64285714286,2421.64285714286,3458.39285714286
121.684210526316,339.947368421053,2037.57894736842,2666.56140350877,3444.75438596491
162.333333333333,551.916666666667,1057.91666666667,2304.83333333333,3230.58333333333
63.8888888888889,384.5,1226.11111111111,2387.44444444444,3344.83333333333
77.2285714285714,466.657142857143,1476.57142857143,2459.2,3488.17142857143
88.1797752808989,656.651685393258,1429.76404494382,2342.13483146067,3617.30337078652
72.4117647058823,470.176470588235,1694,2434.5,3504.26470588235
80.84,300.78,1991.82,2630.14,3438.56
122.272727272727,513.045454545455,1085.54545454545,2359.18181818182,3276.27272727273
79.0769230769231,356.923076923077,1057.46153846154,2435.84615384615,3339.92307692308
64.4761904761905,435.047619047619,1411.40476190476,2501.7619047619,3494.54761904762
101.197530864198,605.987654320988,1294.16049382716,2343.8024691358,3529.82716049383
144.1,504.466666666667,1586,2445.46666666667,3366.4
98.6,325.226666666667,1954.29333333333,2532.81333333333,3444.6
99.8,512.56,984.68,2366.32,3123.12
55.4666666666667,379.666666666667,1073.4,2453.26666666667,3267
68.8157894736842,476.552631578947,1423.52631578947,2495.36842105263,3579.57894736842
146,671.322580645161,1343.46774193548,2359.72580645161,3528.06451612903
129.571428571429,535.357142857143,1694,2540.39285714286,3742.35714285714
158.285714285714,303.742857142857,2077.77142857143,2608.54285714286,3591
121.631578947368,530.421052631579,1063.57894736842,2361.42105263158,3474.05263157895
102.266666666667,351,1178.46666666667,2438.73333333333,3533.86666666667
73.1818181818182,463.606060606061,1491.09090909091,2471.42424242424,3540.33333333333
102.565217391304,624.985507246377,1355.86956521739,2238.30434782609,3451.91304347826
191.909090909091,479.954545454545,1746.77272727273,2502,3612.59090909091
121.378378378378,300.405405405405,2080.83783783784,2634.94594594595,3638.67567567568
106.619047619048,540.142857142857,1072.61904761905,2281.47619047619,3292.80952380952
68.7692307692308,362.769230769231,1059.61538461538,2353.15384615385,3434.84615384615
61.8,569.657142857143,1513.97142857143,2693.94285714286,3663.62857142857
92.6145833333333,669.708333333333,1496.1875,2637.86458333333,3672.625
108.448275862069,577.068965517241,1715.10344827586,2631.51724137931,3517.06896551724
88.9166666666667,389.229166666667,2032.16666666667,2778.8125,3678.5625
89.72,579.04,1124.24,2810.84,3512.24
69.2222222222222,427.222222222222,1104,2736.77777777778,3284.27777777778
57.8214285714286,555.857142857143,1431.07142857143,2693.85714285714,3643.17857142857
81.6941176470588,672.294117647059,1451.48235294118,2784.71764705882,3652.96470588235
94.9333333333333,571.155555555556,1707.73333333333,2766.48888888889,3566.48888888889
89.4324324324324,375.108108108108,1940.54054054054,2706.10810810811,3604.2972972973
110.409090909091,557.727272727273,1097.13636363636,2895.90909090909,3453.45454545455
50.1111111111111,434.444444444444,1185,2474.55555555556,3352
63.3,507.833333333333,1401.56666666667,2505.96666666667,3569.13333333333
90.3444444444444,606.766666666667,1369.6,2332.58888888889,3599.21111111111
102.461538461538,516.615384615385,1716.5,2626.34615384615,3602.84615384615
89.2571428571429,329.685714285714,2039.94285714286,2702.05714285714,3571.25714285714
89.1818181818182,537.863636363636,1074.31818181818,2310.18181818182,3503.04545454545
57.6875,370.3125,1147.6875,2572,3667.0625
64.125,518.375,1308.2,2427.475,3163.625
75.9821428571429,602.758928571429,1255.9375,2495.15178571429,3206.48214285714
102.114285714286,528.914285714286,1543.51428571429,2535.91428571429,3181.88571428571
63.8409090909091,321.5,1892.22727272727,2543.22727272727,3257.36363636364
104.105263157895,496.21052631579,1009.78947368421,2569.73684210526,3263.89473684211
46.8461538461538,363.769230769231,1069.53846153846,2634.07692307692,3473.38461538462
83.8461538461538,459.538461538462,1411.30769230769,2295.07692307692,3806.30769230769
104.268656716418,563.462686567164,1340.32835820896,2267.46268656716,3697.4776119403
169.681818181818,493.272727272727,1679.36363636364,2452.81818181818,3772.13636363636
115.612903225806,300.064516129032,1984.64516129032,2665.67741935484,3764.09677419355
119.352941176471,504.058823529412,1067.58823529412,2247.88235294118,3683.05882352941
